"round","date","location","depth","chlorophyll_a","phosphate","silicate","nitrate_nitrite","ammonia","heterotrophic_bacteria","large_phytoplankton","synechococcus_population_1","synechococcus_population_2","prochlorococcus","lysbeths_mystery_cells_events"
"3",2024-01-09,"Mid Buoy","7.5",1.575,0.195097361984952,25.4091528927414,5.66722570562787,4.67262370950516,7871466.66666667,61950,946383.333333333,328833.333333333,192883.333333333,11566.6666666667
"3",2024-01-09,"Mid Buoy","4",5.895,0.137408285570263,22.6396862758723,1.19847153665834,0.026109963458544,7039000,53650,1760550,384266.666666667,182800,15850
"3",2024-01-09,"Mid Buoy","0.5",1.4655,0.0717846274480518,20.6095037912675,1.15339902041127,0.221904382970703,6885800,51916.6666666667,1897200,354833.333333333,147883.333333333,22000
"3",2024-01-09,"Production Dock","2.75",2.46,0.0620764333588485,19.4272189554689,0.924891845019153,0.0743932318388374,7084033.33333333,55450,1810100,408900,92633.3333333333,16633.3333333333
"3",2024-01-09,"Production Dock","0.5",3.06,0.0604428430072998,16.94228414095,0.897162242000343,0.151944380457772,6566066.66666667,52566.6666666667,1846866.66666667,372216.666666667,110083.333333333,21483.3333333333
"3",2024-01-09,"Auwei","0.5",3.82222222222222,0.0664171162929634,22.266483110837,1.34683920641878,0.180912193998283,6450033.33333333,50633.3333333333,1819600,367633.333333333,109983.333333333,21400
"4",2024-01-30,"Back Buoy","4",8.25,0.0812681116362406,8.16470338846753,1.38410969898756,1.19912193424323,5190583.33333333,74183.3333333333,331850,73533.3333333333,92866.6666666667,8766.66666666667
"4",2024-01-30,"Back Buoy","0.5",1.89,0.026812054645304,0.925676662608106,0.792539562567906,1.03059398828353,5011566.66666667,42950,492283.333333333,111100,76083.3333333333,12883.3333333333
"4",2024-01-30,"Mid Buoy","7.5",5.61428571428571,0.208002087777425,20.2002295925497,1.36242949596107,12.4542651776432,5380016.66666667,52266.6666666667,202683.333333333,59800,146466.666666667,5783.33333333333
"4",2024-01-30,"Mid Buoy","4",5.115,0.038083783415785,4.17696027690317,1.4485932259436,1.36983612116237,5294200,43966.6666666667,408700,42733.3333333333,82000,10166.6666666667
"4",2024-01-30,"Mid Buoy","0.5",0.8745,0.0393459810284573,1.74723199657457,1.34192781898058,2.66165467208616,4841383.33333333,34216.6666666667,294966.666666667,132900,64583.3333333333,10700
"4",2024-01-30,"Production Dock","2.75",0.4225,0.0721603957699814,5.8934055683312,1.34976947423119,0.461109450361176,4522966.66666667,33083.3333333333,322566.666666667,30566.6666666667,41483.3333333333,7983.33333333333
"4",2024-01-30,"Production Dock","0.5",0.113,0.0445654245903871,2.3131539024142,1.14834285984222,1.01310406060795,4902783.33333333,35333.3333333333,292400,84133.3333333333,59033.3333333333,9233.33333333333
"4",2024-01-30,"Auwei","0.5",0.4025,0.0715703717151545,2.76274327477503,1.24244272284945,1.83594269371657,4843850,37633.3333333333,112050,222700,88600,9350
"5",2024-02-20,"Back Buoy","4",NA,NA,NA,NA,NA,4884383.33333333,159716.666666667,497833.333333333,50833.3333333333,55983.3333333333,57900
"5",2024-02-20,"Back Buoy","0.5",NA,NA,NA,NA,NA,4640233.33333333,142633.333333333,464333.333333333,26983.3333333333,40183.3333333333,53950
"5",2024-02-20,"Mid Buoy","7.5",NA,NA,NA,NA,NA,4806166.66666667,161933.333333333,503583.333333333,53450,57000,75033.3333333333
"5",2024-02-20,"Mid Buoy","4",NA,NA,NA,NA,NA,4779266.66666667,156000,465766.666666667,32750,49750,64750
"5",2024-02-20,"Mid Buoy","0.5",NA,NA,NA,NA,NA,4518700,150366.666666667,426166.666666667,28700,40833.3333333333,55950
"5",2024-02-20,"Production Dock","2.75",NA,NA,NA,NA,NA,4391250,122633.333333333,395633.333333333,26750,39033.3333333333,48166.6666666667
"5",2024-02-20,"Production Dock","0.5",NA,NA,NA,NA,NA,4476066.66666667,128250,403866.666666667,27533.3333333333,36900,53116.6666666667
"5",2024-02-20,"Auwei","0.5",NA,NA,NA,NA,NA,4626883.33333333,134816.666666667,443466.666666667,25800,36550,52116.6666666667
